source,song_id,n_bars,beats_per_bar,bpm,key,mode,transpose_offset,n_melody_notes,chord_consonance,melody_chord_coverage,irregular_bars,unparsed_chords,included,reason,split
hooktheory,-WeglAAAxrY,16,4,133.0,Eb:min,min,9.0,26,0.8468,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglAPLxrY,16,4,130.2,D:maj,maj,10.0,8,0.0,0.0,0.0,0,True,,TEST
hooktheory,-WeglAXKxrY,5,4,133.5,B:maj,maj,1.0,18,1.0,0.5283,0.0,0,True,,TRAIN
hooktheory,-WeglAZYxrY,16,4,101.0,E:maj,maj,8.0,139,0.5696,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglAwYxrY,0,,,,,,0,,,0.0,0,False,no_melody,TRAIN
hooktheory,-WeglDELgrY,8,4,117.0,F:min,min,7.0,30,0.5714,0.6667,0.0,0,True,,TRAIN
hooktheory,-WeglDJagrY,24,4,,C:maj,maj,0.0,97,0.7515,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglDMYgrY,9,4,128.1,Db:maj,maj,11.0,41,0.7833,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglDXvgrY,0,,,,,,0,,,0.0,0,False,no_melody,TEST
hooktheory,-WeglDnJgrY,10,4,,C:maj,maj,0.0,48,0.6562,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglGNvmrY,4,4,,D:maj,maj,10.0,28,0.6735,1.0,0.0,0,True,,TEST
hooktheory,-WeglGwLmrY,17,4,186.2,D:maj,maj,10.0,70,0.5054,0.9688,0.0,0,True,,TRAIN
hooktheory,-WeglJLLorY,17,4,129.5,D:maj,maj,10.0,54,0.6992,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglJPYorY,9,4,,E:maj,maj,8.0,37,0.8974,0.9512,0.0,0,True,,VALID
hooktheory,-WeglJaYorY,32,4,96.0,Ab:maj,maj,4.0,103,0.4635,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglJklorY,8,4,,A:maj,maj,3.0,32,0.7917,1.0,0.0,0,True,,TEST
hooktheory,-WeglL_YgrY,32,4,130.0,Eb:maj,maj,9.0,130,0.8203,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglLdlgrY,14,4,,Db:maj,maj,11.0,67,0.6406,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglPY-grY,8,4,78.0,F:maj,maj,7.0,128,0.7734,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglXlJgrY,8,4,115.0,E:min,min,8.0,38,0.5877,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglZOYorY,0,,,,,,0,,,0.0,0,False,no_melody,TRAIN
hooktheory,-WeglZwvorY,12,4,83.0,E:maj,maj,8.0,53,0.62,1.0,0.0,0,True,,TRAIN
hooktheory,-Wegl_AJmrY,9,4,,Bb:min,min,2.0,27,0.5543,0.8846,0.0,0,True,,TRAIN
hooktheory,-Wegl_MLmrY,8,4,122.8,F:maj,maj,7.0,57,0.4409,1.0,0.0,0,True,,TRAIN
hooktheory,-Wegl__JmrY,26,4,216.9,Db:lydian,lydian,11.0,37,0.6042,1.0,0.0,0,True,,TRAIN
hooktheory,-Wegl_nKmrY,8,4,135.9,G:maj,maj,5.0,38,0.5962,0.8667,0.0,0,True,,TRAIN
hooktheory,-Wegl_wlmrY,10,4,116.9,D:maj,maj,10.0,39,0.8125,0.8889,0.0,0,True,,TRAIN
hooktheory,-Wegl_zAmrY,4,4,81.7,G:maj,maj,5.0,44,1.0,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglbPlorY,8,4,127.1,C:maj,maj,0.0,28,0.5312,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglbqAorY,16,4,127.0,A:min,min,3.0,102,1.0,1.0,0.0,0,True,,TRAIN
hooktheory,-WegljWlorY,8,4,,G:min,min,5.0,28,0.96,0.8065,0.0,0,True,,TRAIN
hooktheory,-WeglkEAmrY,15,4,134.1,A:dorian,dorian,3.0,16,0.8833,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglnZaorY,8,4,,C:maj,maj,0.0,34,0.7,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglnbaorY,0,,,,,,0,,,0.0,0,False,no_melody,VALID
hooktheory,-WeglnzlorY,8,4,126.0,B:min,min,1.0,35,0.6,1.0,0.0,0,True,,TEST
hooktheory,-Weglp-AgrY,17,4,108.1,B:maj,maj,1.0,74,0.7704,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglpBKgrY,8,4,,F:min,min,7.0,50,0.7723,1.0,0.0,0,True,,VALID
hooktheory,-WeglqBYxrY,8,4,,E:maj,maj,8.0,16,1.0,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglqDlxrY,17,6,311.9,F:maj,maj,7.0,41,0.7714,0.9722,0.0,0,True,,TRAIN
hooktheory,-WeglqJAxrY,21,4,,Db:min,min,11.0,72,0.515,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglqRYxrY,8,4,,E:min,min,8.0,42,0.2054,1.0,0.0,0,True,,TEST
hooktheory,-WeglqXLxrY,16,4,125.0,E:maj,maj,8.0,44,0.8028,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglrKlorY,4,4,87.0,D:min,min,10.0,34,0.7097,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglvN-orY,8,4,,G:maj,maj,5.0,16,0.8542,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglvXYorY,6,4,87.6,Bb:maj,maj,2.0,43,0.7368,1.0,0.0,0,True,,TEST
hooktheory,-WeglvaAorY,4,4,,B:maj,maj,1.0,28,0.8545,1.0,0.0,0,True,,TRAIN
hooktheory,-Wegly-axrY,8,4,,G:min,min,5.0,47,0.9029,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglyPYxrY,4,4,126.3,Bb:min,min,2.0,22,0.5781,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglyklxrY,0,,,,,,0,,,0.0,0,False,no_melody,TRAIN
hooktheory,-WeglyvAxrY,13,4,84.9,C:maj,maj,0.0,20,1.0,1.0,0.0,0,True,,TRAIN
hooktheory,-WeglzPlorY,0,,,,,,0,,,0.0,0,False,no_melody,TRAIN
hooktheory,-WeglzzKorY,8,4,,C:maj,maj,0.0,36,0.6071,1.0,0.0,0,True,,VALID
hooktheory,-kwxA-zDxKG,10,4,135.5,G:maj,maj,5.0,44,0.6111,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxABEJoKG,8,4,,B:min,min,1.0,40,0.6522,0.8679,0.0,0,True,,TRAIN
hooktheory,-kwxABaDoKG,8,3,140.1,A:min,min,3.0,28,0.8333,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxADRDgKG,0,,,,,,0,,,0.0,0,False,no_melody,TRAIN
hooktheory,-kwxAK-AmKG,4,4,95.9,F#:maj,maj,6.0,14,0.9583,0.96,0.0,0,True,,TRAIN
hooktheory,-kwxAMkXxKG,4,4,127.8,G:min,min,5.0,24,0.7812,1.0,0.0,0,True,,TEST
hooktheory,-kwxAMzQxKG,20,4,,Db:min,min,11.0,64,0.7465,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxANXDoKG,5,4,,Db:maj,maj,11.0,17,0.8108,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxAQBQxKG,8,4,92.0,A:mixolydian,mixolydian,3.0,72,0.5583,0.9524,0.0,0,True,,VALID
hooktheory,-kwxAWpYmKG,12,4,127.0,D:maj,maj,10.0,74,0.7176,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxAWzWmKG,9,4,,A:min,min,3.0,26,0.7115,0.9811,0.0,0,True,,TRAIN
hooktheory,-kwxAXzXgKG,8,4,57.8,C:maj,maj,0.0,36,0.9182,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxA_VAmKG,13,4,66.0,D:min,min,10.0,91,0.8352,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxAaXYxKG,8,4,138.0,B:maj,maj,1.0,25,0.6042,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxAadYxKG,8,4,141.8,C:maj,maj,0.0,52,0.6825,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxAbqXoKG,8,4,142.0,F:maj,maj,7.0,38,0.6949,1.0,0.0,0,True,,VALID
hooktheory,-kwxAjkDoKG,4,4,48.3,A:min,min,3.0,17,0.7917,1.0,0.0,0,True,,VALID
hooktheory,-kwxApZDgKG,8,4,125.0,Bb:maj,maj,2.0,28,0.625,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxAvjXoKG,10,4,,F:maj,maj,7.0,32,0.55,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxAvqAoKG,8,4,114.9,D:maj,maj,10.0,28,0.7672,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxAvyQoKG,8,6,,Eb:maj,maj,9.0,25,0.875,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxAwVDmKG,10,4,64.0,Db:maj,maj,11.0,57,0.8905,1.0,0.0,0,True,,VALID
hooktheory,-kwxAyLXxKG,8,4,120.0,G:maj,maj,5.0,51,0.5506,0.8812,0.0,0,True,,VALID
hooktheory,-kwxAzRAoKG,8,4,68.9,A:min,min,3.0,28,0.6275,1.0,0.0,0,True,,TRAIN
hooktheory,-kwxAzdJoKG,8,4,130.3,Eb:min,min,9.0,15,0.9231,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpA-vngyM,16,3,126.1,G:min,min,5.0,64,1.0,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAAaZgyM,9,4,,A:mixolydian,mixolydian,3.0,41,0.6786,0.918,0.0,0,True,,TRAIN
hooktheory,ANmpAAqqgyM,8,4,173.3,C:maj,maj,0.0,23,0.8857,1.0,0.0,0,True,,VALID
hooktheory,ANmpAAzPgyM,12,4,112.7,Eb:maj,maj,9.0,70,0.6105,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpABDOgyM,16,3,151.3,Eb:maj,maj,9.0,33,0.7073,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpADAqgyM,33,4,196.0,E:maj,maj,8.0,109,0.7863,0.9718,0.0,1,True,,TRAIN
hooktheory,ANmpADXEgyM,8,4,137.9,D:maj,maj,10.0,18,0.7812,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAEDEgyM,34,4,119.8,Ab:min,min,4.0,140,0.5878,0.6079,0.0,0,True,,TRAIN
hooktheory,ANmpAELOgyM,16,4,,C:maj,maj,0.0,41,0.6381,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAEQZgyM,17,4,56.1,Bb:maj,maj,2.0,62,0.555,0.982,0.0,0,True,,TRAIN
hooktheory,ANmpAEYPgyM,9,4,128.1,Eb:phrygian,phrygian,9.0,37,0.5698,0.9348,0.0,0,True,,TRAIN
hooktheory,ANmpAEjPgyM,16,4,,E:min,min,8.0,38,0.8661,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAEqOgyM,8,4,75.1,B:min,min,1.0,30,0.9038,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAEvPgyM,8,4,,F:dorian,dorian,7.0,70,0.4857,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAGLZgyM,9,4,134.2,Db:min,min,11.0,52,0.6953,0.9697,0.0,0,True,,TRAIN
hooktheory,ANmpAJKqgyM,9,4,103.6,Eb:min,min,9.0,53,0.6195,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAJZqgyM,8,4,126.1,C:maj,maj,0.0,29,0.8372,1.0,0.0,0,True,,VALID
hooktheory,ANmpAJbEgyM,8,6,320.4,A:min,min,3.0,23,0.5526,0.9048,0.0,0,True,,TRAIN
hooktheory,ANmpAKMEgyM,16,4,155.7,A:maj,maj,3.0,53,0.6699,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAKpbgyM,16,4,114.1,G:maj,maj,5.0,54,0.6635,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAMB-gyM,9,4,40.1,D:min,min,10.0,44,0.6528,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAMW-gyM,8,4,107.4,Eb:min,min,9.0,32,0.8281,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAMjPgyM,8,4,115.0,Ab:min,min,4.0,34,0.4778,0.8824,0.0,0,True,,TRAIN
hooktheory,ANmpAOLdgyM,20,4,174.0,F:maj,maj,7.0,51,0.7637,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAP-OgyM,4,4,67.5,D:min,min,10.0,51,0.625,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAPGEgyM,24,4,177.1,Bb:min,min,2.0,66,0.552,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAPjqgyM,16,3,90.3,Bb:min,min,2.0,64,0.6538,0.9286,0.0,0,True,,TRAIN
hooktheory,ANmpAQBdgyM,0,,,,,,0,,,0.0,0,False,no_harmony,TRAIN
hooktheory,ANmpAQJqgyM,16,4,,Eb:maj,maj,9.0,76,0.8039,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAQLEgyM,8,4,100.0,F:min,min,7.0,45,0.7333,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAQbdgyM,17,4,132.2,Bb:maj,maj,2.0,95,0.6951,0.9389,0.0,0,True,,TRAIN
hooktheory,ANmpAQv-gyM,8,4,110.0,B:maj,maj,1.0,49,0.5929,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpARKPgyM,16,4,,C:phrygian,phrygian,0.0,35,0.7241,1.0,0.0,0,True,,TEST
hooktheory,ANmpARMOgyM,8,4,117.7,Bb:mixolydian,mixolydian,2.0,41,0.6207,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpARlngyM,8,4,160.9,F:maj,maj,7.0,59,0.6724,1.0,0.0,0,True,,TRAIN
hooktheory,ANmpAWGOgyM,12,4,100.0,Bb:min,min,2.0,97,0.6497,1.0,0.0,0,True,,TRAIN
