source,song_id,n_bars,beats_per_bar,bpm,key,mode,transpose_offset,n_melody_notes,chord_consonance,melody_chord_coverage,irregular_bars,unparsed_chords,included,reason
pop909,001,73,4,90.0,Gb:maj,maj,6.0,264,0.9399,1.0,0.0,0,True,
pop909,002,60,4,64.0,B:maj,maj,1.0,310,0.9429,1.0,0.0,0,True,
pop909,003,79,4,82.0,Bb:maj,maj,2.0,422,0.9784,1.0,2.0,0,True,
pop909,004,59,4,71.6,Eb:min,min,6.0,156,0.9717,1.0,0.0,0,True,
pop909,005,77,4,65.0,G:maj,maj,5.0,367,0.9707,1.0,3.0,0,True,
pop909,006,109,4,116.0,C:min,min,-3.0,468,0.9757,1.0,3.0,0,True,
pop909,007,120,4,136.0,B:min,min,-2.0,350,0.9799,1.0,2.0,0,True,
pop909,008,70,4,65.0,Eb:maj,maj,-3.0,416,0.946,1.0,1.0,0,True,
pop909,009,118,4,138.0,Eb:min,min,6.0,346,0.9802,1.0,2.0,0,True,
pop909,010,85,4,73.0,G:maj,maj,5.0,349,0.9448,1.0,5.0,0,True,
pop909,011,90,4,66.0,Eb:maj,maj,-3.0,427,0.9708,1.0,5.0,0,True,
pop909,012,70,4,56.0,Eb:maj,maj,-3.0,440,0.9351,1.0,5.0,0,True,
pop909,013,58,4,65.0,A:min,min,0.0,353,0.9604,1.0,4.0,0,True,
pop909,014,96,4,127.0,C:min,min,-3.0,275,0.9759,1.0,3.0,0,True,
pop909,015,64,4,58.0,Eb:maj,maj,-3.0,355,0.9557,1.0,3.0,0,True,
pop909,016,76,4,70.0,G:min,min,2.0,290,0.9749,1.0,4.0,0,True,
pop909,017,65,4,71.0,D:min,min,-5.0,224,0.9772,1.0,1.0,0,True,
pop909,018,61,4,71.0,D:min,min,-5.0,224,0.9797,1.0,0.0,0,True,
pop909,019,58,4,61.0,D:maj,maj,-2.0,313,0.9775,1.0,2.0,0,True,
pop909,020,105,4,103.5,A:min,min,0.0,346,0.9805,1.0,7.0,0,True,
pop909,021,56,4,57.0,Eb:maj,maj,-3.0,292,0.9171,1.0,2.0,0,True,
pop909,022,73,4,70.0,Bb:maj,maj,2.0,355,0.9682,1.0,0.0,0,True,
pop909,023,64,4,60.0,Eb:min,min,6.0,293,0.9506,1.0,4.0,0,True,
pop909,024,58,4,66.0,Eb:min,min,6.0,311,0.9499,1.0,0.0,0,True,
pop909,025,93,4,62.0,A:maj,maj,3.0,338,0.9559,1.0,3.0,0,True,
pop909,026,65,4,80.0,G:maj,maj,5.0,166,0.9869,1.0,2.0,0,True,
pop909,027,71,4,64.0,D:min,min,-5.0,332,0.9722,1.0,0.0,0,True,
pop909,028,63,4,62.0,Ab:min,min,1.0,453,0.9843,1.0,3.0,0,True,
pop909,029,113,4,110.0,Bb:maj,maj,2.0,267,0.9371,1.0,4.0,0,True,
pop909,030,69,4,60.0,C:min,min,-3.0,368,0.9611,1.0,6.0,0,True,
pop909,031,94,4,124.0,Db:min,min,-4.0,138,0.9602,1.0,0.0,0,True,
pop909,032,60,4,59.0,B:min,min,-2.0,271,0.9226,1.0,2.0,0,True,
